"Plot Title: M-08"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10081491, SEN S/N: 10081491)","Coupler Attached (LGR S/N: 10081491)","Host Connected (LGR S/N: 10081491)","Stopped (LGR S/N: 10081491)","End Of File (LGR S/N: 10081491)"
1,02/14/23 10:00:00 AM,23.869,,,,
2,02/14/23 10:10:00 AM,24.062,,,,
3,02/14/23 10:20:00 AM,24.158,,,,
4,02/14/23 10:30:00 AM,24.351,,,,
5,02/14/23 10:40:00 AM,24.545,,,,
6,02/14/23 10:50:00 AM,23.966,,,,
7,02/14/23 11:00:00 AM,5.962,,,,
8,02/14/23 11:10:00 AM,0.121,,,,
9,02/14/23 11:20:00 AM,0.121,,,,
10,02/14/23 11:30:00 AM,0.121,,,,
11,02/14/23 11:40:00 AM,0.121,,,,
12,02/14/23 11:50:00 AM,0.121,,,,
13,02/14/23 12:00:00 PM,0.121,,,,
14,02/14/23 12:10:00 PM,0.121,,,,
15,02/14/23 12:20:00 PM,0.121,,,,
16,02/14/23 12:30:00 PM,0.121,,,,
17,02/14/23 12:40:00 PM,0.121,,,,
18,02/14/23 12:50:00 PM,0.121,,,,
19,02/14/23 01:00:00 PM,0.121,,,,
20,02/14/23 01:10:00 PM,0.343,,,,
21,02/14/23 01:20:00 PM,0.232,,,,
22,02/14/23 01:30:00 PM,0.232,,,,
23,02/14/23 01:40:00 PM,0.343,,,,
24,02/14/23 01:50:00 PM,0.563,,,,
25,02/14/23 02:00:00 PM,0.674,,,,
26,02/14/23 02:10:00 PM,1.003,,,,
27,02/14/23 02:20:00 PM,1.221,,,,
28,02/14/23 02:30:00 PM,9.077,,,,
29,02/14/23 02:40:00 PM,14.996,,,,
30,02/14/23 02:50:00 PM,17.570,,,,
31,02/14/23 03:00:00 PM,18.806,,,,
32,02/14/23 03:08:47 PM,,Logged,Logged,,
33,02/14/23 03:08:53 PM,,,,Logged,Logged
