"Plot Title: M-11"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20679351, SEN S/N: 20679351)","Coupler Attached (LGR S/N: 20679351)","Host Connected (LGR S/N: 20679351)","Stopped (LGR S/N: 20679351)","End Of File (LGR S/N: 20679351)"
1,02/14/23 10:00:00 AM,23.677,,,,
2,02/14/23 10:10:00 AM,23.869,,,,
3,02/14/23 10:20:00 AM,23.966,,,,
4,02/14/23 10:30:00 AM,24.158,,,,
5,02/14/23 10:40:00 AM,24.448,,,,
6,02/14/23 10:50:00 AM,23.869,,,,
7,02/14/23 11:00:00 AM,4.934,,,,
8,02/14/23 11:10:00 AM,0.343,,,,
9,02/14/23 11:20:00 AM,0.232,,,,
10,02/14/23 11:30:00 AM,0.232,,,,
11,02/14/23 11:40:00 AM,0.232,,,,
12,02/14/23 11:50:00 AM,0.232,,,,
13,02/14/23 12:00:00 PM,0.343,,,,
14,02/14/23 12:10:00 PM,0.343,,,,
15,02/14/23 12:20:00 PM,0.343,,,,
16,02/14/23 12:30:00 PM,0.453,,,,
17,02/14/23 12:40:00 PM,0.453,,,,
18,02/14/23 12:50:00 PM,0.563,,,,
19,02/14/23 01:00:00 PM,0.674,,,,
20,02/14/23 01:10:00 PM,0.784,,,,
21,02/14/23 01:20:00 PM,0.563,,,,
22,02/14/23 01:30:00 PM,0.674,,,,
23,02/14/23 01:40:00 PM,0.784,,,,
24,02/14/23 01:50:00 PM,0.784,,,,
25,02/14/23 02:00:00 PM,0.893,,,,
26,02/14/23 02:10:00 PM,0.893,,,,
27,02/14/23 02:20:00 PM,1.112,,,,
28,02/14/23 02:30:00 PM,7.682,,,,
29,02/14/23 02:40:00 PM,14.325,,,,
30,02/14/23 02:48:49 PM,,Logged,Logged,,
31,02/14/23 02:48:56 PM,,,,Logged,Logged
