"Plot Title: M-09"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10081493, SEN S/N: 10081493, LBL: temp)","Coupler Attached (LGR S/N: 10081493)","Host Connected (LGR S/N: 10081493)","Stopped (LGR S/N: 10081493)","End Of File (LGR S/N: 10081493)"
1,02/14/23 10:00:00 AM,24.062,,,,
2,02/14/23 10:10:00 AM,24.255,,,,
3,02/14/23 10:20:00 AM,24.448,,,,
4,02/14/23 10:30:00 AM,24.641,,,,
5,02/14/23 10:40:00 AM,24.835,,,,
6,02/14/23 10:50:00 AM,23.773,,,,
7,02/14/23 11:00:00 AM,4.415,,,,
8,02/14/23 11:10:00 AM,0.674,,,,
9,02/14/23 11:20:00 AM,0.453,,,,
10,02/14/23 11:30:00 AM,0.563,,,,
11,02/14/23 11:40:00 AM,0.563,,,,
12,02/14/23 11:50:00 AM,0.674,,,,
13,02/14/23 12:00:00 PM,0.784,,,,
14,02/14/23 12:10:00 PM,1.003,,,,
15,02/14/23 12:20:00 PM,1.112,,,,
16,02/14/23 12:30:00 PM,1.330,,,,
17,02/14/23 12:40:00 PM,1.548,,,,
18,02/14/23 12:50:00 PM,1.656,,,,
19,02/14/23 01:00:00 PM,1.872,,,,
20,02/14/23 01:10:00 PM,2.837,,,,
21,02/14/23 01:20:00 PM,2.624,,,,
22,02/14/23 01:30:00 PM,2.624,,,,
23,02/14/23 01:40:00 PM,2.943,,,,
24,02/14/23 01:50:00 PM,3.049,,,,
25,02/14/23 02:00:00 PM,3.261,,,,
26,02/14/23 02:10:00 PM,3.578,,,,
27,02/14/23 02:20:00 PM,3.788,,,,
28,02/14/23 02:30:00 PM,9.472,,,,
29,02/14/23 02:38:05 PM,,Logged,,,
30,02/14/23 02:38:06 PM,,,Logged,,
31,02/14/23 02:38:16 PM,,,,Logged,Logged
