"Plot Title: M-07"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10081490, SEN S/N: 10081490, LBL: temp)","Coupler Attached (LGR S/N: 10081490)","Host Connected (LGR S/N: 10081490)","Stopped (LGR S/N: 10081490)","End Of File (LGR S/N: 10081490)"
1,02/14/23 10:00:00 AM,23.581,,,,
2,02/14/23 10:10:00 AM,23.773,,,,
3,02/14/23 10:20:00 AM,23.869,,,,
4,02/14/23 10:30:00 AM,23.966,,,,
5,02/14/23 10:40:00 AM,24.158,,,,
6,02/14/23 10:50:00 AM,23.869,,,,
7,02/14/23 11:00:00 AM,6.370,,,,
8,02/14/23 11:10:00 AM,1.872,,,,
9,02/14/23 11:20:00 AM,2.303,,,,
10,02/14/23 11:30:00 AM,2.730,,,,
11,02/14/23 11:40:00 AM,3.049,,,,
12,02/14/23 11:50:00 AM,3.155,,,,
13,02/14/23 12:00:00 PM,3.472,,,,
14,02/14/23 12:10:00 PM,3.472,,,,
15,02/14/23 12:20:00 PM,3.578,,,,
16,02/14/23 12:30:00 PM,3.683,,,,
17,02/14/23 12:40:00 PM,3.893,,,,
18,02/14/23 12:50:00 PM,3.998,,,,
19,02/14/23 01:00:00 PM,3.998,,,,
20,02/14/23 01:10:00 PM,3.261,,,,
21,02/14/23 01:20:00 PM,2.303,,,,
22,02/14/23 01:30:00 PM,2.517,,,,
23,02/14/23 01:40:00 PM,2.837,,,,
24,02/14/23 01:50:00 PM,3.049,,,,
25,02/14/23 02:00:00 PM,3.261,,,,
26,02/14/23 02:10:00 PM,3.367,,,,
27,02/14/23 02:20:00 PM,3.472,,,,
28,02/14/23 02:30:00 PM,9.077,,,,
29,02/14/23 02:40:00 PM,15.378,,,,
30,02/14/23 02:50:00 PM,18.140,,,,
31,02/14/23 02:51:50 PM,,Logged,Logged,,
32,02/14/23 02:51:58 PM,,,,Logged,Logged
